sample-id	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	sample_comment	city	country
sample-11	DRR017230	AMPLICON	401	4322763	PRJDB1664	SAMD00016535	2675393	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015524	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015014	DRP001941			Bali	Indonesia
sample-12	DRR017231	AMPLICON	400	2425270	PRJDB1664	SAMD00016539	1507114	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015525	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015015	DRP001941			Bali	Indonesia
sample-13	DRR017232	AMPLICON	402	1882141	PRJDB1664	SAMD00016525	1163802	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015526	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015016	DRP001941			Bali	Indonesia
sample-14	DRR017233	AMPLICON	403	2012286	PRJDB1664	SAMD00016518	1227936	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015527	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015017	DRP001941			Bali	Indonesia
sample-15	DRR017234	AMPLICON	402	3214818	PRJDB1664	SAMD00016527	1890817	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015528	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015018	DRP001941			Bali	Indonesia
sample-16	DRR017235	AMPLICON	403	2734249	PRJDB1664	SAMD00016541	1623173	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015529	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015019	DRP001941			Bali	Indonesia
sample-17	DRR017236	AMPLICON	403	2854073	PRJDB1664	SAMD00016522	1707068	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015530	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016522	DRP001941	DRS015020	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-18	DRR017237	AMPLICON	403	2607785	PRJDB1664	SAMD00016533	1510227	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015531	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016533	DRP001941	DRS015021	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-19	DRR017238	AMPLICON	403	2804134	PRJDB1664	SAMD00016542	1638952	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015532	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016542	DRP001941	DRS015022	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-20	DRR017239	AMPLICON	401	3611332	PRJDB1664	SAMD00016529	2216657	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015533	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016529	DRP001941	DRS015023	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-21	DRR017240	AMPLICON	403	1936945	PRJDB1664	SAMD00016519	1196171	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015534	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016519	DRP001941	DRS015024	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-22	DRR017241	AMPLICON	401	3552651	PRJDB1664	SAMD00016536	2179616	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015535	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016536	DRP001941	DRS015025	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-23	DRR017242	AMPLICON	400	3123912	PRJDB1664	SAMD00016521	1939976	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015536	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016521	DRP001941	DRS015026	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-24	DRR017243	AMPLICON	397	1113761	PRJDB1664	SAMD00016532	726972	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015537	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016532	DRP001941	DRS015027	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-25	DRR017244	AMPLICON	403	2956952	PRJDB1664	SAMD00016534	1711257	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015538	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016534	DRP001941	DRS015028	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-26	DRR017245	AMPLICON	400	3244864	PRJDB1664	SAMD00016543	2021542	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015539	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016543	DRP001941	DRS015029	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-27	DRR017246	AMPLICON	400	3984105	PRJDB1664	SAMD00009074	2427012	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015540	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009074	DRP001942	DRS015030	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-28	DRR017247	AMPLICON	400	4251899	PRJDB1664	SAMD00009079	2580083	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015541	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009079	DRP001942	DRS015031	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-29	DRR017248	AMPLICON	401	4004855	PRJDB1664	SAMD00009077	2490828	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015542	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009077	DRP001942	DRS015032	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-30	DRR017249	AMPLICON	401	2918990	PRJDB1664	SAMD00009066	1825157	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015543	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009066	DRP001942	DRS015033	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-31	DRR017250	AMPLICON	403	3079452	PRJDB1664	SAMD00009086	1853652	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015544	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009086	DRP001942	DRS015034	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-32	DRR017251	AMPLICON	403	2160192	PRJDB1664	SAMD00009072	1295961	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015545	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009072	DRP001942	DRS015035	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-33	DRR017252	AMPLICON	401	3026492	PRJDB1664	SAMD00009085	1862711	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015546	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009085	DRP001942	DRS015036	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-34	DRR017253	AMPLICON	396	1899865	PRJDB1664	SAMD00009069	1219295	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015547	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009069	DRP001942	DRS015037	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-35	DRR017254	AMPLICON	402	4718338	PRJDB1664	SAMD00009073	2863913	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015548	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009073	DRP001942	DRS015038	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-36	DRR017255	AMPLICON	403	2272051	PRJDB1664	SAMD00009078	1353847	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015549	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009078	DRP001942	DRS015039	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-37	DRR017256	AMPLICON	401	4327421	PRJDB1664	SAMD00009081	2682943	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015550	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009081	DRP001942	DRS015040	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-38	DRR017257	AMPLICON	400	3541606	PRJDB1664	SAMD00009062	2157309	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015551	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009062	DRP001942	DRS015041	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-39	DRR017258	AMPLICON	400	3062024	PRJDB1664	SAMD00009067	1900961	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015552	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009067	DRP001942	DRS015042	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-40	DRR017259	AMPLICON	401	3749758	PRJDB1664	SAMD00009068	2318220	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015553	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009068	DRP001942	DRS015043	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-41	DRR017260	AMPLICON	396	1770477	PRJDB1664	SAMD00009070	1137022	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015554	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009070	DRP001942	DRS015044	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-42	DRR017261	AMPLICON	397	1473153	PRJDB1664	SAMD00009064	951472	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015555	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009064	DRP001942	DRS015045	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-43	DRR017262	AMPLICON	396	1488704	PRJDB1664	SAMD00009083	969758	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015556	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009083	DRP001942	DRS015046	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-44	DRR017263	AMPLICON	400	3154107	PRJDB1664	SAMD00009082	1952829	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015557	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009082	DRP001942	DRS015047	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-45	DRR017264	AMPLICON	403	2817772	PRJDB1664	SAMD00009076	1684405	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015558	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009076	DRP001942	DRS015048	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-46	DRR017265	AMPLICON	401	4764427	PRJDB1664	SAMD00009060	2955930	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015559	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009060	DRP001942	DRS015049	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-47	DRR017266	AMPLICON	399	1903971	PRJDB1664	SAMD00009059	1207466	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015560	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009059	DRP001942	DRS015050	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-48	DRR017267	AMPLICON	401	4569551	PRJDB1664	SAMD00009075	2851502	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015561	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009075	DRP001942	DRS015051	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-49	DRR017268	AMPLICON	400	4689453	PRJDB1664	SAMD00009063	2859187	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015562	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009063	DRP001942	DRS015052	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-50	DRR017269	AMPLICON	400	4156875	PRJDB1664	SAMD00009087	2553931	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015563	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009087	DRP001942	DRS015053	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-51	DRR017270	AMPLICON	400	2379812	PRJDB1664	SAMD00009084	1494432	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015564	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009084	DRP001942	DRS015054	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-52	DRR017271	AMPLICON	400	1695781	PRJDB1664	SAMD00009080	1071271	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015565	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009080	DRP001942	DRS015055	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-53	DRR017272	AMPLICON	401	3581298	PRJDB1664	SAMD00009088	2200630	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015566	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009088	DRP001942	DRS015056	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-54	DRR017273	AMPLICON	396	678634	PRJDB1664	SAMD00009065	454727	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015567	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009065	DRP001942	DRS015057	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-55	DRR017274	AMPLICON	403	2134168	PRJDB1664	SAMD00009061	1282611	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015568	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009061	DRP001942	DRS015058	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-56	DRR017275	AMPLICON	401	3663235	PRJDB1664	SAMD00009071	2258964	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015569	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009071	DRP001942	DRS015059	16S rRNA amplicon sequencing of stool sample from healthy Yogjakarta Children	Yogjakarta	Indonesia
sample-57	DRR017276	AMPLICON	403	2165426	PRJDB1664	SAMD00012356	1285705	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015570	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012356	DRP001943	DRS015060	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-58	DRR017277	AMPLICON	403	1807057	PRJDB1664	SAMD00012370	1073441	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015571	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012370	DRP001943	DRS015061	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-59	DRR017278	AMPLICON	403	2773708	PRJDB1664	SAMD00012367	1692396	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015572	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012367	DRP001943	DRS015062	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-60	DRR017279	AMPLICON	403	2484391	PRJDB1664	SAMD00012372	1487729	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015573	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012372	DRP001943	DRS015063	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-61	DRR017280	AMPLICON	398	1436996	PRJDB1664	SAMD00012363	907627	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015574	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012363	DRP001943	DRS015064	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-62	DRR017281	AMPLICON	403	948166	PRJDB1664	SAMD00012365	580021	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015575	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012365	DRP001943	DRS015065	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-63	DRR017282	AMPLICON	403	1921482	PRJDB1664	SAMD00012358	1148266	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015576	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012358	DRP001943	DRS015066	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
sample-64	DRR017283	AMPLICON	403	2613786	PRJDB1664	SAMD00012374	1508629	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015577	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012374	DRP001943	DRS015067	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
