study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA46879	SAMN00018776	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043303	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043304	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043305	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043306	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043307	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043308	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043309	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043310	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043311	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043312	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043313	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043314	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043315	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043316	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043317	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018841	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018865	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018871	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018632	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018715	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018714	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018644	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018674	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018827	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018683	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020379	SRR043318	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043319	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018860	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018662	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018912	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018699	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018643	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018665	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018634	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018669	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020504	SRR043420	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018860	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018662	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018699	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018643	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018912	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018669	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018634	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018665	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020504	SRR043421	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018860	SRX020504	SRR043422	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018662	SRX020504	SRR043422	646099	human metagenome		Protected file(s). Go to dbGap	
