sample-id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_body_product,host_diet,host,host_subject_id,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,misc_param,Organism,Platform,ReleaseDate,Sample Name,source_material_id,SRA Study
sample-11,SRR15032088,AMPLICON,301,7957236,PRJNA743361,SAMN20031317,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3503614,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343722,USA,North America,USA: California,stool,Fiber,Homo sapiens,8029,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v95,9030,37.4275 N 122.1697 W,fefifo_8029_9_189__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8029_9_189,9030,SRP326733
sample-12,SRR15032089,AMPLICON,301,9285850,PRJNA743361,SAMN20031316,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",4095568,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343721,USA,North America,USA: California,stool,Fiber,Homo sapiens,8041,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v94,5041,37.4275 N 122.1697 W,fefifo_8041_5_188__16S,SINGLE,PCR,METAGENOMIC,5,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8041_5_188,5041,SRP326733
sample-13,SRR15032090,AMPLICON,301,14323386,PRJNA743361,SAMN20031315,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",6221290,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",human_gut,healthy_adults,stool,SRX11343720,USA,North America,USA: California,stool,Fiber,Homo sapiens,8029,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v93,8030,37.4275 N 122.1697 W,fefifo_8029_8_187__16S,SINGLE,PCR,METAGENOMIC,8,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8029_8_187,8030,SRP326733
sample-14,SRR15032091,AMPLICON,301,14600005,PRJNA743361,SAMN20031314,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",6211242,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343719,USA,North America,USA: California,stool,Fiber,Homo sapiens,8007,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v92,9008,37.4275 N 122.1697 W,fefifo_8007_9_186__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8007_9_186,9008,SRP326733
sample-15,SRR15032092,AMPLICON,301,5498367,PRJNA743361,SAMN20031233,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2455183,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343718,USA,North America,USA: California,stool,Fermented,Homo sapiens,8014,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v11,3015,37.4275 N 122.1697 W,fefifo_8014_3_107__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8014_3_107,3015,SRP326733
sample-16,SRR15032093,AMPLICON,301,13582926,PRJNA743361,SAMN20031313,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",5983545,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343717,USA,North America,USA: California,stool,Fermented,Homo sapiens,8028,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v91,8029,37.4275 N 122.1697 W,fefifo_8028_8_185__16S,SINGLE,PCR,METAGENOMIC,8,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8028_8_185,8029,SRP326733
sample-17,SRR15032094,AMPLICON,301,4646838,PRJNA743361,SAMN20031312,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2080749,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343716,USA,North America,USA: California,stool,Fiber,Homo sapiens,8018,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v90,5019,37.4275 N 122.1697 W,fefifo_8018_5_184__16S,SINGLE,PCR,METAGENOMIC,5,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8018_5_184,5019,SRP326733
sample-18,SRR15032095,AMPLICON,301,1144402,PRJNA743361,SAMN20031311,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",566951,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343715,USA,North America,USA: California,stool,Fiber,Homo sapiens,8023,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v89,6023,37.4275 N 122.1697 W,fefifo_8023_6_183__16S,SINGLE,PCR,METAGENOMIC,6,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8023_6_183,6023,SRP326733
sample-19,SRR15032096,AMPLICON,301,10288481,PRJNA743361,SAMN20031310,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",4465140,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343714,USA,North America,USA: California,stool,Fiber,Homo sapiens,8035,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v88,3036,37.4275 N 122.1697 W,fefifo_8035_3_182__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8035_3_182,3036,SRP326733
sample-20,SRR15032097,AMPLICON,301,3140935,PRJNA743361,SAMN20031309,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1420713,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343713,USA,North America,USA: California,stool,Fermented,Homo sapiens,8034,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v87,7035,37.4275 N 122.1697 W,fefifo_8034_7_181__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8034_7_181,7035,SRP326733
sample-21,SRR15032098,AMPLICON,301,3043712,PRJNA743361,SAMN20031308,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1370764,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343712,USA,North America,USA: California,stool,Fermented,Homo sapiens,8011,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v86,9012,37.4275 N 122.1697 W,fefifo_8011_9_180__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8011_9_180,9012,SRP326733
sample-22,SRR15032099,AMPLICON,301,2379706,PRJNA743361,SAMN20031307,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1125272,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343711,USA,North America,USA: California,stool,Fermented,Homo sapiens,8027,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v85,1028,37.4275 N 122.1697 W,fefifo_8027_1_18__16S,SINGLE,PCR,METAGENOMIC,1,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8027_1_18,1028,SRP326733
sample-23,SRR15032100,AMPLICON,301,4226040,PRJNA743361,SAMN20031306,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1876352,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343710,USA,North America,USA: California,stool,Fiber,Homo sapiens,8041,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v84,4041,37.4275 N 122.1697 W,fefifo_8041_4_179__16S,SINGLE,PCR,METAGENOMIC,4,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8041_4_179,4041,SRP326733
sample-24,SRR15032101,AMPLICON,301,3890425,PRJNA743361,SAMN20031305,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1748284,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343709,USA,North America,USA: California,stool,Fermented,Homo sapiens,8033,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v83,7034,37.4275 N 122.1697 W,fefifo_8033_7_178__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8033_7_178,7034,SRP326733
sample-25,SRR15032102,AMPLICON,301,459627,PRJNA743361,SAMN20031304,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",259987,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343708,USA,North America,USA: California,stool,Fermented,Homo sapiens,8026,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v82,9027,37.4275 N 122.1697 W,fefifo_8026_9_177__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8026_9_177,9027,SRP326733
sample-26,SRR15032103,AMPLICON,301,1830080,PRJNA743361,SAMN20031232,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",847769,SONNENBURGLAB,2017,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",human_gut,healthy_adults,stool,SRX11343707,USA,North America,USA: California,stool,Fiber,Homo sapiens,8018,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v10,3019,37.4275 N 122.1697 W,fefifo_8018_3_106__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8018_3_106,3019,SRP326733
sample-27,SRR15032104,AMPLICON,301,4700416,PRJNA743361,SAMN20031303,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2056500,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343706,USA,North America,USA: California,stool,Fiber,Homo sapiens,8041,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v81,3041,37.4275 N 122.1697 W,fefifo_8041_3_176__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8041_3_176,3041,SRP326733
sample-28,SRR15032105,AMPLICON,301,10460352,PRJNA743361,SAMN20031302,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",4655540,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343705,USA,North America,USA: California,stool,Fermented,Homo sapiens,8020,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v80,9021,37.4275 N 122.1697 W,fefifo_8020_9_175__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8020_9_175,9021,SRP326733
sample-29,SRR15032106,AMPLICON,301,6835108,PRJNA743361,SAMN20031301,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3094382,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343704,USA,North America,USA: California,stool,Fermented,Homo sapiens,8031,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v79,8032,37.4275 N 122.1697 W,fefifo_8031_8_174__16S,SINGLE,PCR,METAGENOMIC,8,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8031_8_174,8032,SRP326733
sample-30,SRR15032107,AMPLICON,301,2993746,PRJNA743361,SAMN20031300,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1299158,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343703,USA,North America,USA: California,stool,Fermented,Homo sapiens,8031,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v78,9032,37.4275 N 122.1697 W,fefifo_8031_9_172__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8031_9_172,9032,SRP326733
sample-31,SRR15032108,AMPLICON,301,2205728,PRJNA743361,SAMN20031299,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1008488,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343702,USA,North America,USA: California,stool,Fiber,Homo sapiens,8035,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v77,4036,37.4275 N 122.1697 W,fefifo_8035_4_171__16S,SINGLE,PCR,METAGENOMIC,4,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8035_4_171,4036,SRP326733
sample-32,SRR15032109,AMPLICON,301,18469962,PRJNA743361,SAMN20031298,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",7879455,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343701,USA,North America,USA: California,stool,Fiber,Homo sapiens,8036,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v76,2037,37.4275 N 122.1697 W,fefifo_8036_2_170__16S,SINGLE,PCR,METAGENOMIC,2,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8036_2_170,2037,SRP326733
sample-33,SRR15032110,AMPLICON,301,3873569,PRJNA743361,SAMN20031297,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1720083,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343700,USA,North America,USA: California,stool,Fiber,Homo sapiens,8002,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v75,7004,37.4275 N 122.1697 W,fefifo_8002_7_17__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8002_7_17,7004,SRP326733
sample-34,SRR15032111,AMPLICON,301,7875665,PRJNA743361,SAMN20031296,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3470040,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343699,USA,North America,USA: California,stool,Fiber,Homo sapiens,8036,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v74,1037,37.4275 N 122.1697 W,fefifo_8036_1_169__16S,SINGLE,PCR,METAGENOMIC,1,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8036_1_169,1037,SRP326733
sample-35,SRR15032112,AMPLICON,301,7202930,PRJNA743361,SAMN20031295,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3217319,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343698,USA,North America,USA: California,stool,Fiber,Homo sapiens,8035,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v73,1036,37.4275 N 122.1697 W,fefifo_8035_1_168__16S,SINGLE,PCR,METAGENOMIC,1,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8035_1_168,1036,SRP326733
sample-36,SRR15032113,AMPLICON,301,2836022,PRJNA743361,SAMN20031294,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1288889,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343697,USA,North America,USA: California,stool,Fermented,Homo sapiens,8030,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v72,4031,37.4275 N 122.1697 W,fefifo_8030_4_167__16S,SINGLE,PCR,METAGENOMIC,4,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8030_4_167,4031,SRP326733
sample-37,SRR15032114,AMPLICON,301,1367443,PRJNA743361,SAMN20031231,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",663892,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343696,USA,North America,USA: California,stool,Fermented,Homo sapiens,8025,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v9,4026,37.4275 N 122.1697 W,fefifo_8025_4_105__16S,SINGLE,PCR,METAGENOMIC,4,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8025_4_105,4026,SRP326733
sample-38,SRR15032115,AMPLICON,301,5631710,PRJNA743361,SAMN20031293,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2468254,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343695,USA,North America,USA: California,stool,Fiber,Homo sapiens,8039,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v71,2040,37.4275 N 122.1697 W,fefifo_8039_2_166__16S,SINGLE,PCR,METAGENOMIC,2,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8039_2_166,2040,SRP326733
sample-39,SRR15032116,AMPLICON,301,13485703,PRJNA743361,SAMN20031292,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",5935168,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343694,USA,North America,USA: California,stool,Fermented,Homo sapiens,8030,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v70,3031,37.4275 N 122.1697 W,fefifo_8030_3_165__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8030_3_165,3031,SRP326733
sample-40,SRR15032117,AMPLICON,301,7534632,PRJNA743361,SAMN20031291,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3296922,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343693,USA,North America,USA: California,stool,Fiber,Homo sapiens,8006,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v69,7007,37.4275 N 122.1697 W,fefifo_8006_7_164__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8006_7_164,7007,SRP326733
