sample-id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Label,lat_lon,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,groups,city
sample-29,SRR1298475,AMPLICON,536,3156431,PRJNA247489,SAMN02781485,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7052668,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552737,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-TO-VG-F,SRP042234,VG,Torino
sample-30,SRR1298476,AMPLICON,555,3183243,PRJNA247489,SAMN02781565,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6909269,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552738,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-BA-O-F,SRP042234,O,Bari
sample-31,SRR1298477,AMPLICON,574,4422326,PRJNA247489,SAMN02781483,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9481040,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552739,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-BA-V-F,SRP042234,V,Bari
sample-32,SRR1298478,AMPLICON,573,3084821,PRJNA247489,SAMN02781460,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6601074,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552740,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-BA-VG-F,SRP042234,VG,Bari
sample-33,SRR1298479,AMPLICON,537,2962500,PRJNA247489,SAMN02781523,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6586926,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552741,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bologna 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-BO-O-F,SRP042234,O,Bologna
sample-34,SRR1298480,AMPLICON,580,4772113,PRJNA247489,SAMN02781503,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10252081,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552742,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-PR-VG-F,SRP042234,VG,Parma
sample-35,SRR1298481,AMPLICON,548,2359787,PRJNA247489,SAMN02781486,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5242387,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552743,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 06,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,06-TO-VG-F,SRP042234,VG,Torino
sample-36,SRR1298482,AMPLICON,579,3769865,PRJNA247489,SAMN02781566,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8007500,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552744,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-BA-O-F,SRP042234,O,Bari
sample-37,SRR1298483,AMPLICON,567,3684279,PRJNA247489,SAMN02781430,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7909227,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552745,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-BA-V-F,SRP042234,V,Bari
sample-38,SRR1298484,AMPLICON,581,3816331,PRJNA247489,SAMN02781461,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8155496,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552746,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-BA-VG-F,SRP042234,VG,Bari
sample-39,SRR1298485,AMPLICON,550,3122983,PRJNA247489,SAMN02781534,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6872705,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552747,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bologna 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-BO-V-F,SRP042234,V,Bologna
sample-40,SRR1298486,AMPLICON,570,3581259,PRJNA247489,SAMN02781504,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7700150,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552748,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Parma 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-PR-V-F,SRP042234,V,Parma
sample-41,SRR1298487,AMPLICON,561,3229599,PRJNA247489,SAMN02781493,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7106758,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552749,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Torino 07,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,07-TO-V-F,SRP042234,V,Torino
sample-42,SRR1298488,AMPLICON,569,4826995,PRJNA247489,SAMN02781567,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10286656,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552750,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 08,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,08-BA-O-F,SRP042234,O,Bari
sample-43,SRR1298489,AMPLICON,569,3252279,PRJNA247489,SAMN02781574,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7139946,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552751,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 08,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,08-BA-V-F,SRP042234,V,Bari
sample-44,SRR1298490,AMPLICON,556,3843389,PRJNA247489,SAMN02781462,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8319090,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552752,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 08,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,08-BA-VG-F,SRP042234,VG,Bari
sample-45,SRR1298491,AMPLICON,551,3456256,PRJNA247489,SAMN02781505,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7602389,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552753,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 08,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,08-PR-VG-F,SRP042234,VG,Parma
sample-46,SRR1298492,AMPLICON,521,2788630,PRJNA247489,SAMN02781469,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6274806,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552754,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 08,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,08-TO-VG-F,SRP042234,VG,Torino
