Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_diet,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,groups
SRR10698171,AMPLICON,420,38972220,PRJNA595949,SAMN13577718,Metagenome or environmental,21980881,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-07-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374764,Belgium,Europe,Belgium: Liege,C37M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C37M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C37M0,SRP237728,M0_inulin
SRR10698173,AMPLICON,420,25571700,PRJNA595949,SAMN13577716,Metagenome or environmental,13965509,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-06-13,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374762,Belgium,Europe,Belgium: Liege,C34M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C34M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C34M0,SRP237728,M0_inulin
SRR10698175,AMPLICON,420,35568540,PRJNA595949,SAMN13577714,Metagenome or environmental,19555210,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-05-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374760,Belgium,Europe,Belgium: Liege,C32M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C32M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C32M0,SRP237728,M0_inulin
SRR10698186,AMPLICON,420,54975900,PRJNA595949,SAMN13577704,Metagenome or environmental,30146733,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-02-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374749,Belgium,Europe,Belgium: Liege,C26M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C26M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C26M0,SRP237728,M0_inulin
SRR10698195,AMPLICON,420,39664380,PRJNA595949,SAMN13577696,Metagenome or environmental,21731957,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-01-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374740,Belgium,Europe,Belgium: Liege,C21M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C21M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C21M0,SRP237728,M0_inulin
SRR10698197,AMPLICON,420,41209560,PRJNA595949,SAMN13577694,Metagenome or environmental,22836309,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-01-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374738,Belgium,Europe,Belgium: Liege,C20M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C20M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C20M0,SRP237728,M0_inulin
SRR10698199,AMPLICON,420,48087480,PRJNA595949,SAMN13577692,Metagenome or environmental,26125905,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-01-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374736,Belgium,Europe,Belgium: Liege,C19M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C19M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C19M0,SRP237728,M0_inulin
SRR10698201,AMPLICON,420,49628880,PRJNA595949,SAMN13577690,Metagenome or environmental,26721947,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-12-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374734,Belgium,Europe,Belgium: Liege,C18M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C18M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C18M0,SRP237728,M0_inulin
SRR10698206,AMPLICON,420,38561460,PRJNA595949,SAMN13577686,Metagenome or environmental,21465538,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-10-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374729,Belgium,Europe,Belgium: Liege,C16M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C16M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C16M0,SRP237728,M0_inulin
SRR10698208,AMPLICON,420,46387320,PRJNA595949,SAMN13577684,Metagenome or environmental,25453477,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-10-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374727,Belgium,Europe,Belgium: Liege,C15M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C15M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C15M0,SRP237728,M0_inulin
SRR10698210,AMPLICON,420,44089500,PRJNA595949,SAMN13577682,Metagenome or environmental,23870236,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-10-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374725,Belgium,Europe,Belgium: Liege,C14M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C14M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C14M0,SRP237728,M0_inulin
SRR10698212,AMPLICON,420,51562560,PRJNA595949,SAMN13577680,Metagenome or environmental,28426958,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-08-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374723,Belgium,Europe,Belgium: Liege,C12M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C12M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C12M0,SRP237728,M0_inulin
SRR10698213,AMPLICON,420,38894100,PRJNA595949,SAMN13577662,Metagenome or environmental,22147301,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-03-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374722,Belgium,Europe,Belgium: Liege,C02M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C02M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C02M0,SRP237728,M0_inulin
SRR10698218,AMPLICON,420,16796220,PRJNA595949,SAMN13577846,Metagenome or environmental,10298601,UNIVERSITE CATHOLIQUE DE LOUVAIN,2018-01-25,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374717,Belgium,Europe,Belgium: Brussels,S55M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S55M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S55M0,SRP237728,M0_inulin
SRR10698222,AMPLICON,420,27765360,PRJNA595949,SAMN13577842,Metagenome or environmental,15672365,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-11-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374713,Belgium,Europe,Belgium: Brussels,S52M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S52M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S52M0,SRP237728,M0_inulin
SRR10698224,AMPLICON,420,34601700,PRJNA595949,SAMN13577840,Metagenome or environmental,19527219,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-08-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374711,Belgium,Europe,Belgium: Brussels,S51M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S51M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S51M0,SRP237728,M0_inulin
SRR10698235,AMPLICON,420,29274000,PRJNA595949,SAMN13577830,Metagenome or environmental,17053702,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-07-13,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374700,Belgium,Europe,Belgium: Brussels,S45M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S45M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S45M0,SRP237728,M0_inulin
SRR10698246,AMPLICON,420,20668620,PRJNA595949,SAMN13577820,Metagenome or environmental,12076827,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-06-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374689,Belgium,Europe,Belgium: Brussels,S40M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S40M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S40M0,SRP237728,M0_inulin
SRR10698251,AMPLICON,420,37870560,PRJNA595949,SAMN13577816,Metagenome or environmental,20571049,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-05-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374684,Belgium,Europe,Belgium: Brussels,S37M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S37M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S37M0,SRP237728,M0_inulin
SRR10698257,AMPLICON,420,41194020,PRJNA595949,SAMN13577810,Metagenome or environmental,22487444,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-03-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374678,Belgium,Europe,Belgium: Brussels,S33M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S33M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S33M0,SRP237728,M0_inulin
SRR10698266,AMPLICON,420,44039940,PRJNA595949,SAMN13577802,Metagenome or environmental,24099378,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-02-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374669,Belgium,Europe,Belgium: Brussels,S25M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S25M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S25M0,SRP237728,M0_inulin
SRR10698269,AMPLICON,420,50197560,PRJNA595949,SAMN13577674,Metagenome or environmental,27106894,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374666,Belgium,Europe,Belgium: Liege,C09M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C09M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C09M0,SRP237728,M0_inulin
SRR10698271,AMPLICON,420,34728540,PRJNA595949,SAMN13577798,Metagenome or environmental,19598170,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-10-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374664,Belgium,Europe,Belgium: Brussels,S20M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S20M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S20M0,SRP237728,M0_inulin
SRR10698273,AMPLICON,420,28087500,PRJNA595949,SAMN13577796,Metagenome or environmental,16517773,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-09-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374662,Belgium,Europe,Belgium: Brussels,S18M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S18M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S18M0,SRP237728,M0_inulin
SRR10698277,AMPLICON,420,51805740,PRJNA595949,SAMN13577792,Metagenome or environmental,27632131,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-08-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374658,Belgium,Europe,Belgium: Brussels,S15M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S15M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S15M0,SRP237728,M0_inulin
SRR10698282,AMPLICON,420,41975640,PRJNA595949,SAMN13577788,Metagenome or environmental,22961090,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-07-19,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374653,Belgium,Europe,Belgium: Brussels,S13M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S13M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S13M0,SRP237728,M0_inulin
SRR10698284,AMPLICON,420,49993440,PRJNA595949,SAMN13577786,Metagenome or environmental,27411558,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-06-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374651,Belgium,Europe,Belgium: Brussels,S12M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S12M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S12M0,SRP237728,M0_inulin
SRR10698286,AMPLICON,420,45905160,PRJNA595949,SAMN13577784,Metagenome or environmental,25256720,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-06-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374649,Belgium,Europe,Belgium: Brussels,S10M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S10M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S10M0,SRP237728,M0_inulin
SRR10698288,AMPLICON,420,45753540,PRJNA595949,SAMN13577782,Metagenome or environmental,25779343,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374647,Belgium,Europe,Belgium: Brussels,S09M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S09M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S09M0,SRP237728,M0_inulin
SRR10698291,AMPLICON,420,55909140,PRJNA595949,SAMN13577672,Metagenome or environmental,30792642,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-05-19,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374644,Belgium,Europe,Belgium: Liege,C08M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C08M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C08M0,SRP237728,M0_inulin
SRR10698293,AMPLICON,420,42372960,PRJNA595949,SAMN13577778,Metagenome or environmental,23448371,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-04-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374642,Belgium,Europe,Belgium: Brussels,S06M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S06M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S06M0,SRP237728,M0_inulin
SRR10698299,AMPLICON,420,34642860,PRJNA595949,SAMN13577772,Metagenome or environmental,20486994,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-02-25,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374636,Belgium,Europe,Belgium: Brussels,S03M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S03M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S03M0,SRP237728,M0_inulin
SRR10698301,AMPLICON,420,39913020,PRJNA595949,SAMN13577770,Metagenome or environmental,22222229,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-02-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374634,Belgium,Europe,Belgium: Brussels,S02M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S02M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S02M0,SRP237728,M0_inulin
SRR10698306,AMPLICON,420,41644260,PRJNA595949,SAMN13577766,Metagenome or environmental,22852901,UNIVERSITE CATHOLIQUE DE LOUVAIN,2018-02-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374629,Belgium,Europe,Belgium: Brussels,E49M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E49M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E49M0,SRP237728,M0_inulin
SRR10698310,AMPLICON,420,36901200,PRJNA595949,SAMN13577762,Metagenome or environmental,21511751,UNIVERSITE CATHOLIQUE DE LOUVAIN,2018-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374625,Belgium,Europe,Belgium: Brussels,E47M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E47M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E47M0,SRP237728,M0_inulin
SRR10698135,AMPLICON,420,47161380,PRJNA595949,SAMN13577750,Metagenome or environmental,25097670,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-09-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374800,Belgium,Europe,Belgium: Brussels,E35M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E35M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E35M0,SRP237728,M0_inulin
SRR10698144,AMPLICON,420,44933700,PRJNA595949,SAMN13577742,Metagenome or environmental,25309876,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-02-27,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374791,Belgium,Europe,Belgium: Brussels,E21M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E21M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E21M0,SRP237728,M0_inulin
SRR10698233,AMPLICON,420,38041500,PRJNA595949,SAMN13577832,Metagenome or environmental,21112323,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-08-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374702,Belgium,Europe,Belgium: Brussels,S46M0_inulin,Homo sapiens,Illumina MiSeq,50.85 N 4.45 E,S46M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,S46M0,SRP237728,M0_inulin
